DR-V1.2.2.2,https://airtable.com/apphMYhEwBJfd0bUK/shrYC888Qxf8gkvky,,,,,
Who,Division,opportunity name (link),"CMCC priority (high, medium, low, no interest)",variable groups names,total variables,
Tomas L.,ESYDA,Baseline Climate Variables for Earth System Modelling,High,"
baseline_monthly, baseline_daily, baseline_fixed, baseline_subdaily",132,
,,,,,,
Atmosphere,,,,,,
"Panos A., Antonello Sq.",CLIVAP,Atmospheric dynamics and variability,High,"baseline_monthly, baseline_daily, baseline_fixed, baseline_subdaily, dynvar_basic ",,
,,"Clouds, circulation and climate sensitivity: baseline",No Interest,,,
,,"Clouds, circulation and climate sensitivity: extension for process-level studies",No Interest,,,
,,"Clouds, radiation & precipitation",No Interest,,,
"Panos A., Antonello Sq.",CLIVAP,Detection and Attribution,High,"DAMIP_monthly, DAMIP_daily, ocean_grid",90,
,,Diagnosing Radiative Forcing,No Interest,,,
"Panos A., Antonello Sq.",CLIVAP,Diagnosing temperature variability and extremes,High,"DCPP_essential, DCPP_wider (only daily and monthly), temperature_variability_daily_highpriority (some vars are in common with others)
",207,?
,,Rapid Evaluation Framework,No Interest,,,
,,Southern Ocean Biogeochemistry to Clouds,No Interest,,,
,,Synoptic systems,No Interest,,,
,,"Understanding the role of short-lived climate forcers on atmospheric composition, air quality, and climate change",No Interest,,,
,,,,,,
Earth system,,,,,,
Daniele P.,ESYDA,Benchmarking and Attributing Changes to Global Carbon and other Biogeochemical Cycles,High,"land_carbon_cycle_tier1, land_carbon_cycle_tier2, land_nitrogen_cycle_tier1, land_nitrogen_cycle_tier2, land_benchmarking_and_landcover_variables_tier1, land_benchmarking_and_landcover_variables_tier2, ocean_carbon_cycle_tier1, atmosphere_carbon_cycle_tier1, ocean_carbon_cycle_tier2, land_ch4_fluxes ",201,
Tomas L.,ESYDA,Changes in marine biogeochemical cycles and ecosystem processes,High,"marine_bgc_baseline, marine_bgc_seaice, marine_bgc_fishmip, marine_bgc_carbon_sink, marine_bgc_pp_uncertainty",86,
Momme B.,ESYDA,Constructing a Global Carbon Budget,High,"land_carbon_cycle_tier1, land_carbon_cycle_tier2, ocean_carbon_cycle_tier1, atmosphere_carbon_cycle_tier1",,already in Benchmarking opportunity
Daniele P.,ESYDA,Earth's Energy Budget,High,"ocean_grid, seaice_budget_energy_monthly",39,
Dario N.,CLIVAP,Multi-annual-to-decadal predictability of the Earth System and risk assessment of climate extremes,High,"DCPP_essential, DCPP_wider (only daily and monthly)",,
"Dario N., Antonello Sq.",CLIVAP,Robust Risk Assessment of Tipping Points,Medium,"baseline_monthly, baseline_daily, baseline_fixed, baseline_subdaily",,
Daniele P.,ESYDA,Role of fire in the Earth system,High,"FireMIP_monthly, FireMIP_daily",118,
"Daniele P. & Guido R. (ICR), Antonio T. (ICR)","ESYDA, ICR",Water cycle/budget assessment,High,"seaice_budget_freshwater_monthly, ocean_grid, WaterResources_daily, WaterResources_subdaily",36,
,,,,,,
Impacts & Adaptation,,,,,,
Antonio T.,ICR,Agriculture and Food System Impacts,High,"AgModelCoreDaily,  AgModelExpandedDaily, AgWaterCore, AgWaterExt",31,
,,Atmospheric and Oceanic Dynamical downscaling,No Interest,,,
Guido R.,ICR,Bias-adjustment for impacts modeling and analysis,Medium,"ISIMIPMinimalAtmos, ISIMIP_deposition_variables, CHELSA_land_daily",36,
,,Climate impact assessments on freshwater ecosystems,No Interest,,,
Momme B.,ESYDA,Climate impacts on marine biodiversity and ecosystems,Medium,"biodiv_marine_daily, ISIMIP_oceanforcing_3hr, marine_bgc_baseline, marine_bgc_fishmip",98,ISIMIP is very demanding
,,Core Climate Services,No Interest,,,
